genotype,treatment,number,day,epicotyl,,internode1,,internode2,,internode3,,petiole1,,petiole2,,petiole3,,petiole4,
M82,10,1,35,29.24,5/28/14 11:59,25.57,5/28/14 0:00,17.21,5/28/14 0:00,11.98,5/28/14 0:00,73.26,5/28/14 0:01,37.59,5/28/14 0:01,27.5,5/28/14 0:01,20.36,5/28/14 0:01
M82,10,4,35,32.58,5/28/14 0:02,27.87,5/28/14 0:03,15.63,5/28/14 0:03,13.95,5/28/14 0:03,68.74,5/28/14 0:04,46.42,5/28/14 0:04,35.89,5/28/14 0:04,30.1,5/28/14 0:04
M82,10,2,35,15.45,5/28/14 0:05,21.74,5/28/14 0:05,18.66,5/28/14 0:06,10.23,5/28/14 0:06,49.47,5/28/14 0:06,44.35,5/28/14 0:06,36.16,5/28/14 0:07,35.06,5/28/14 0:07
M82,3,6,35,28.05,5/28/14 15:37,28.26,5/28/14 15:37,15.44,5/28/14 15:37,9.49,5/28/14 15:38,60.03,5/28/14 15:38,41.89,5/28/14 15:38,35.15,5/28/14 15:38,29.61,5/28/14 15:39
tie1,3,7,35,35.82,5/28/14 15:39,28.52,5/28/14 15:40,21.05,5/28/14 15:40,18.89,5/28/14 15:40,42.1,5/28/14 15:40,33.59,5/28/14 15:41,31.14,5/28/14 15:41,28.43,5/28/14 15:41
M82,3,1,35,20.4,5/28/14 15:42,15.51,5/28/14 15:42,12.59,5/28/14 15:42,6.92,5/28/14 15:42,41.8,5/28/14 15:43,37.7,5/28/14 15:44,33.57,5/28/14 15:44,35.44,5/28/14 15:44
tie1,3,2,35,24.03,5/28/14 15:45,22.6,5/28/14 15:45,17.14,5/28/14 15:45,6.49,5/28/14 15:45,33.52,5/28/14 15:45,25.78,5/28/14 15:46,18.65,5/28/14 15:46,11.84,5/28/14 15:46
tie1,3,5,35,46.28,5/28/14 15:47,23.16,5/28/14 15:47,25.91,5/28/14 15:47,13.87,5/28/14 15:47,57.32,5/28/14 15:48,38.56,5/28/14 15:48,33.61,5/28/14 15:48,27.15,5/28/14 15:48
M82,3,5,35,19.81,5/28/14 15:49,9.41,5/28/14 15:49,12.14,5/28/14 15:49,7.68,5/28/14 15:50,42.98,5/28/14 15:50,33.96,5/28/14 15:50,31.54,5/28/14 15:50,32.77,5/28/14 15:51
M82,3,2,35,35.26,5/28/14 15:51,21.13,5/28/14 15:51,13.1,5/28/14 15:52,8.99,5/28/14 15:52,46.38,5/28/14 15:52,30.11,5/28/14 15:52,20.5,5/28/14 15:52,15.54,5/28/14 15:53
tie1,3,6,35,47.81,5/28/14 15:54,27.54,5/28/14 15:54,26.01,5/28/14 15:55,22.17,5/28/14 15:55,59.86,5/28/14 15:55,37.64,5/28/14 15:55,37.13,5/28/14 15:55,26.94,5/28/14 15:56
M82,3,3,35,21.78,5/28/14 15:57,10.81,5/28/14 15:57,17.05,5/28/14 15:57,8.76,5/28/14 15:57,38.27,5/28/14 15:57,39.59,5/28/14 15:58,30.3,5/28/14 15:58,20.4,5/28/14 15:58
tie1,3,8,35,39.22,5/28/14 15:59,34.24,5/28/14 15:59,25.45,5/28/14 15:59,17.92,5/28/14 15:59,50.12,5/28/14 16:00,34.55,5/28/14 16:00,30.39,5/28/14 16:00,24.75,5/28/14 16:00
tie1,3,3,35,37.15,5/28/14 16:03,14.54,5/28/14 16:03,30.82,5/28/14 16:03,17.67,5/28/14 16:03,54.96,5/28/14 16:03,55.42,5/28/14 16:04,31.6,5/28/14 16:04,24.83,5/28/14 16:04
tie1,3,4,35,38.24,5/28/14 16:05,19.03,5/28/14 16:05,23.72,5/28/14 16:05,14.23,5/28/14 16:05,37.82,5/28/14 16:05,43.89,5/28/14 16:05,26.11,5/28/14 16:06,21.4,5/28/14 16:06
M82,3,8,35,25.73,5/28/14 16:06,18.01,5/28/14 16:07,10.13,5/28/14 16:07,8.47,5/28/14 16:07,48.84,5/28/14 16:07,31.75,5/28/14 16:07,23.37,5/28/14 16:07,19.33,5/28/14 16:08
M82,3,7,35,14.27,5/28/14 16:09,22.17,5/28/14 16:09,12.68,5/28/14 16:09,10.71,5/28/14 16:09,49.65,5/28/14 16:10,54.41,5/28/14 16:10,33.7,5/28/14 16:10,36.14,5/28/14 16:11
M82,3,4,35,35.75,5/28/14 16:11,19.11,5/28/14 16:12,9.69,5/28/14 16:12,11.58,5/28/14 16:12,40.91,5/28/14 16:12,29.59,5/28/14 16:13,29.8,5/28/14 16:14,17.14,5/28/14 16:14
