p,genotype,treatment,day,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,,notes
T0031.1,T,0.003,21,25.77,11/6/14 14:34,5.73,11/6/14 14:34,0,11/6/14 14:34,0,11/6/14 14:34,26.54,11/6/14 14:35,8.54,11/6/14 14:35,0,,0,,
T0032.8,T,0.003,21,31.14,11/6/14 14:39,6.29,11/6/14 14:39,0,11/6/14 14:39,0,11/6/14 14:39,15.19,11/6/14 14:39,8.15,11/6/14 14:39,0,,0,,
M0032.7,M,0.003,21,8.84,11/6/14 14:40,4.86,11/6/14 14:40,0,11/6/14 14:40,0,11/6/14 14:40,21.13,11/6/14 14:40,7.84,11/6/14 14:41,2.14,11/6/14 14:41,0,,
M0032.6,M,0.003,21,12.41,11/6/14 14:41,2.27,11/6/14 14:41,0,11/6/14 14:41,0,11/6/14 14:41,19.31,11/6/14 14:42,5.61,11/6/14 14:42,0,,0,,
T0032.5,T,0.003,21,32.11,11/6/14 14:42,12.26,11/6/14 14:43,1.76,11/6/14 14:43,0,11/6/14 14:43,17.93,11/6/14 14:43,8.53,11/6/14 14:43,1.91,11/6/14 14:43,0,,
T0032.4,T,0.003,21,33.4,11/6/14 14:44,8.5,11/6/14 14:44,2.27,11/6/14 14:44,0,11/6/14 14:44,20.02,11/6/14 14:45,15.46,11/6/14 14:45,2.62,11/6/14 14:45,0,,
M0032.3,M,0.003,21,11.29,11/6/14 14:45,6.8,11/6/14 14:45,1.57,11/6/14 14:45,0,11/6/14 14:46,19.66,11/6/14 14:46,10.81,11/6/14 14:46,2.49,11/6/14 14:46,0,,
T0032.2,T,0.003,21,31.77,11/6/14 14:48,7.87,11/6/14 14:48,0,11/6/14 14:48,0,11/6/14 14:48,20.5,11/6/14 14:49,7.74,11/6/14 14:49,0,,0,,
M0032.1,M,0.003,21,14.8,11/6/14 14:49,3.19,11/6/14 14:49,0,11/6/14 14:50,0,11/6/14 14:50,22.89,11/6/14 14:50,6.27,11/6/14 14:50,0,,0,,
M0011.8,M,0.001,21,12.07,11/6/14 14:51,1.3,11/6/14 14:51,0,11/6/14 14:51,0,11/6/14 14:51,16.43,11/6/14 14:51,4.48,11/6/14 14:51,0,,0,,
T0011.7,T,0.001,21,27.03,11/6/14 14:52,9.75,11/6/14 14:52,1.59,11/6/14 14:53,0,11/6/14 14:53,18.68,11/6/14 14:53,8.67,11/6/14 14:53,1.5,11/6/14 14:53,0,,
T0011.6,T,0.001,21,34.19,11/6/14 14:54,15.33,11/6/14 14:54,2.01,11/6/14 14:54,0,11/6/14 14:54,24.18,11/6/14 14:55,10.06,11/6/14 14:55,1.32,11/6/14 14:55,0,,
M0011.5,M,0.001,21,14.29,11/6/14 14:56,6.13,11/6/14 14:56,0,11/6/14 14:56,0,11/6/14 14:56,23.14,11/6/14 14:56,9.76,11/6/14 14:57,2.7,11/6/14 14:57,0,,
T0011.4,T,0.001,21,27.54,11/6/14 14:57,3.63,11/6/14 14:58,1.51,11/6/14 14:58,0,11/6/14 14:58,14.79,11/6/14 14:58,15.66,11/6/14 14:58,1.77,11/6/14 14:58,0,,
M0011.3,M,0.001,21,13.13,11/6/14 14:59,2.43,11/6/14 14:59,0,11/6/14 14:59,0,11/6/14 14:59,19.32,11/6/14 14:59,8.33,11/6/14 14:59,0,,0,,
M0011.2,M,0.001,21,13.8,11/6/14 15:00,3.59,11/6/14 15:00,0,11/6/14 15:00,0,11/6/14 15:00,20.89,11/6/14 15:00,6.11,11/6/14 15:01,0,,0,,
T0011.1,T,0.001,21,28.28,11/6/14 15:01,5.19,11/6/14 15:01,0,11/6/14 15:01,0,11/6/14 15:02,20.49,11/6/14 15:02,5.47,11/6/14 15:02,0,,0,,
M0002.1,M,0,21,12.07,11/6/14 15:03,2.4,11/6/14 15:03,0,11/6/14 15:03,0,11/6/14 15:03,13.3,11/6/14 15:03,5.97,11/6/14 15:03,0,,0,,
T0002.2,T,0,21,27.9,11/6/14 15:04,16.75,11/6/14 15:04,4.58,11/6/14 15:04,0,11/6/14 15:04,24.49,11/6/14 15:04,12.02,11/6/14 15:04,6.56,11/6/14 15:05,0,,
M0002.3,M,0,21,7.73,11/6/14 15:05,0.01,11/6/14 15:05,0,11/6/14 15:05,0,11/6/14 15:05,15.03,11/6/14 15:05,2.15,11/6/14 15:06,0,,0,,
T0002.4,T,0,21,24.78,11/6/14 15:06,9.19,11/6/14 15:06,1.53,11/6/14 15:06,0,11/6/14 15:06,20.82,11/6/14 15:07,10.44,11/6/14 15:07,0,,0,,
T0002.5,T,0,21,24.57,11/6/14 15:08,12.77,11/6/14 15:08,5.76,11/6/14 15:08,0,11/6/14 15:08,20.71,11/6/14 15:09,9.77,11/6/14 15:09,6.77,11/6/14 15:09,1.54,11/6/14 15:09,
