p,genotype,treatment,day,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,,notes
M0011.8,M,0.001,35,27.01,11/20/14 13:32,21.98,11/20/14 13:32,28.08,11/20/14 13:32,17.38,11/20/14 13:33,67.02,11/20/14 13:33,53.97,11/20/14 13:33,29.63,11/20/14 13:34,23.31,11/20/14 13:34,
T0011.7,T,0.001,35,38.84,11/20/14 13:35,43.47,11/20/14 13:35,49.73,11/20/14 13:35,34.56,11/20/14 13:35,54.22,11/20/14 13:35,65.13,11/20/14 13:36,57.37,11/20/14 13:36,34.16,11/20/14 13:36,
T0011.6,T,0.001,35,50.93,11/20/14 13:37,50.12,11/20/14 13:37,45.01,11/20/14 13:37,41.49,11/20/14 13:43,67.22,11/20/14 13:43,59.9,11/20/14 13:44,57.28,11/20/14 13:44,35.51,11/20/14 13:44,
M0011.5,M,0.001,35,20.62,11/20/14 13:45,20.55,11/20/14 13:45,15.07,11/20/14 13:45,12.92,11/20/14 13:46,51,11/20/14 13:46,48.61,11/20/14 13:46,49.67,11/20/14 13:46,47.02,11/20/14 13:47,
T0011.4,T,0.001,35,47.02,11/20/14 13:47,17.45,11/20/14 13:47,57.22,11/20/14 13:48,50.99,11/20/14 13:48,57.29,11/20/14 13:48,76.11,11/20/14 13:48,56.25,11/20/14 13:49,41.83,11/20/14 13:49,
M0011.3,M,0.001,35,22.77,11/20/14 13:55,19.09,11/20/14 14:08,25.59,11/20/14 14:08,22.76,11/20/14 14:09,56.42,11/20/14 14:09,54.4,11/20/14 14:09,46.4,11/20/14 14:09,27.58,11/20/14 14:10,
M0011.2,M,0.001,35,22.03,11/20/14 14:10,20.28,11/20/14 14:11,19.26,11/20/14 14:11,22.12,11/20/14 14:11,66.09,11/20/14 14:11,45.37,11/20/14 14:11,36.94,11/20/14 14:12,28.53,11/20/14 14:12,
T0011.1,T,0.001,35,47.53,11/20/14 14:12,43.71,11/20/14 14:13,47.29,11/20/14 14:13,35.4,11/20/14 14:13,66.18,11/20/14 14:13,48.78,11/20/14 14:13,51.06,11/20/14 14:14,22.83,11/20/14 14:14,
M0032.1,M,0.003,35,25.53,11/20/14 14:15,24.11,11/20/14 14:15,24.52,11/20/14 14:16,16.21,11/20/14 14:16,73.72,11/20/14 14:16,49,11/20/14 14:16,32.36,11/20/14 14:17,21.49,11/20/14 14:17,
T0032.2,T,0.003,35,52.48,11/20/14 14:18,40.23,11/20/14 14:18,45.46,11/20/14 14:18,37.42,11/20/14 14:18,61.31,11/20/14 14:19,58.33,11/20/14 14:19,50.13,11/20/14 14:19,28.57,11/20/14 14:19,
M0032.3,M,0.003,35,15.29,11/20/14 14:20,18.98,11/20/14 14:20,14.86,11/20/14 14:20,13.07,11/20/14 14:20,51.52,11/20/14 14:20,52.56,11/20/14 14:21,50.46,11/20/14 14:21,46.79,11/20/14 14:22,
T0032.4,T,0.003,35,48.69,11/20/14 14:24,33.33,11/20/14 14:24,37.49,11/20/14 14:25,31.32,11/20/14 14:25,53.58,11/20/14 14:25,75.07,11/20/14 14:25,57.72,11/20/14 14:27,28.52,11/20/14 14:27,
T0032.5,T,0.003,35,44.67,11/20/14 14:28,45.5,11/20/14 14:28,46.8,11/20/14 14:28,46,11/20/14 14:28,54.99,11/20/14 14:29,55.76,11/20/14 14:29,34.76,11/20/14 14:29,34.03,11/20/14 14:29,
M0032.6,M,0.003,35,23.72,11/20/14 14:30,22.65,11/20/14 14:30,23.74,11/20/14 14:30,17.79,11/20/14 14:30,61.9,11/20/14 14:30,59.91,11/20/14 14:31,34.51,11/20/14 14:31,20.44,11/20/14 14:31,
M0032.7,M,0.003,35,13.83,11/20/14 14:32,17.92,11/20/14 14:32,9.97,11/20/14 14:32,14.34,11/20/14 14:33,46.02,11/20/14 14:33,43.93,11/20/14 14:33,46.72,11/20/14 14:33,45.36,11/20/14 14:34,
T0032.8,T,0.003,35,53.54,11/20/14 14:34,35.4,11/20/14 14:35,44.53,11/20/14 14:35,28.13,11/20/14 14:35,51.17,11/20/14 14:35,53.95,11/20/14 14:35,47.89,11/20/14 14:36,20.93,11/20/14 14:36,
T0031.1,T,0.003,35,45.51,11/20/14 14:37,38.3,11/20/14 14:37,67.08,11/20/14 14:37,36.02,11/20/14 14:38,63.32,11/20/14 14:38,60.85,11/20/14 14:38,28.45,11/20/14 14:38,25.04,11/20/14 14:39,
M0031.2,M,0.003,35,29.59,11/20/14 14:39,13.43,11/20/14 14:39,20.44,11/20/14 14:39,19.95,11/20/14 14:40,63.37,11/20/14 14:40,53.67,11/20/14 14:40,50.39,11/20/14 14:40,28.83,11/20/14 14:41,
M0031.3,M,0.003,35,26.71,11/20/14 14:41,22.25,11/20/14 14:41,20.22,11/20/14 14:41,21.07,11/20/14 14:42,63.11,11/20/14 14:42,59.38,11/20/14 14:42,29.41,11/20/14 14:42,25.29,11/20/14 14:43,
T0031.4,T,0.003,35,44.83,11/20/14 14:44,47.96,11/20/14 14:44,40.26,11/20/14 14:44,29.48,11/20/14 14:44,44.18,11/20/14 14:44,50,11/20/14 14:45,44.46,11/20/14 14:45,19.96,11/20/14 14:45,
M0031.5,M,0.003,35,16.11,11/20/14 14:46,18,11/20/14 14:46,16.89,11/20/14 14:46,21.74,11/20/14 14:46,58.25,11/20/14 14:46,55.09,11/20/14 14:47,50.12,11/20/14 14:47,31.45,11/20/14 14:47,
T0031.6,T,0.003,35,31.76,11/20/14 14:48,36.41,11/20/14 14:48,37.33,11/20/14 14:48,33.28,11/20/14 14:48,52.32,11/20/14 14:48,56.53,11/20/14 14:49,55.84,11/20/14 14:49,35.72,11/20/14 14:49,
T0031.7,T,0.003,35,47.85,11/20/14 14:50,46.76,11/20/14 14:50,50.33,11/20/14 14:50,37.07,11/20/14 14:50,60.5,11/20/14 14:50,62.21,11/20/14 14:51,42.41,11/20/14 14:51,36.52,11/20/14 14:51,
M0031.8,M,0.003,35,25.52,11/20/14 14:52,16.82,11/20/14 14:52,15.87,11/20/14 14:52,11.6,11/20/14 14:52,58.82,11/20/14 14:52,48.32,11/20/14 14:53,42.69,11/20/14 14:53,26.56,11/20/14 14:53,
T0001.1,T,0,35,44.67,11/20/14 14:58,42.29,11/20/14 14:58,44.9,11/20/14 14:58,40.43,11/20/14 14:58,53.53,11/20/14 14:58,74.07,11/20/14 14:59,61.1,11/20/14 14:59,30.25,11/20/14 14:59,
M0001.2,M,0,35,24.37,11/20/14 15:00,26.81,11/20/14 15:00,25.22,11/20/14 15:00,19.97,11/20/14 15:00,60.75,11/20/14 15:00,57.53,11/20/14 15:00,31.77,11/20/14 15:01,29.71,11/20/14 15:01,
M0001.3,M,0,35,22.67,11/20/14 15:01,21.99,11/20/14 15:02,22.67,11/20/14 15:02,22.55,11/20/14 15:02,69.05,11/20/14 15:02,65.72,11/20/14 15:02,30.35,11/20/14 15:03,28.59,11/20/14 15:03,
T0001.4,T,0,35,50.47,11/20/14 15:03,47.29,11/20/14 15:04,52.41,11/20/14 15:04,53.72,11/20/14 15:04,55.07,11/20/14 15:04,67.46,11/20/14 15:05,41.8,11/20/14 15:05,36.83,11/20/14 15:05,
M0001.5,M,0,35,26.55,11/20/14 15:05,13.75,11/20/14 15:06,19.31,11/20/14 15:06,24.28,11/20/14 15:06,57.29,11/20/14 15:06,57.85,11/20/14 15:06,42.73,11/20/14 15:07,20.67,11/20/14 15:07,
T0001.6,T,0,35,43.6,11/20/14 15:07,50.3,11/20/14 15:08,48.59,11/20/14 15:08,39.72,11/20/14 15:08,70.41,11/20/14 15:08,69.77,11/20/14 15:09,54.91,11/20/14 15:09,50.83,11/20/14 15:09,
T0001.7,T,0,35,45.05,11/20/14 15:10,45.19,11/20/14 15:10,47.28,11/20/14 15:10,41.46,11/20/14 15:10,61.9,11/20/14 15:10,58.22,11/20/14 15:11,52.33,11/20/14 15:11,29.6,11/20/14 15:11,
M0001.8,M,0,35,16.33,11/20/14 15:12,20.43,11/20/14 15:12,15.82,11/20/14 15:12,17.72,11/20/14 15:12,51.1,11/20/14 15:12,47.3,11/20/14 15:13,52.09,11/20/14 15:13,45.85,11/20/14 15:13,
T0002.8,T,0,35,37.97,11/20/14 15:16,32.36,11/20/14 15:16,37.47,11/20/14 15:16,31.47,11/20/14 15:16,49.02,11/20/14 15:17,72.93,11/20/14 15:17,58.27,11/20/14 15:17,56.32,11/20/14 15:18,
M0002.7,M,0,35,16.82,11/20/14 15:18,24.99,11/20/14 15:18,22.41,11/20/14 15:19,19.59,11/20/14 15:19,52.37,11/20/14 15:19,54.5,11/20/14 15:19,32.19,11/20/14 15:20,28.31,11/20/14 15:20,
M0002.6,M,0,35,6.53,11/20/14 15:22,16.16,11/20/14 15:22,21.03,11/20/14 15:22,23.94,11/20/14 15:22,29.27,11/20/14 15:23,51.74,11/20/14 15:23,41.77,11/20/14 15:23,32.29,11/20/14 15:23,
T0002.5,T,0,35,30.57,11/20/14 15:24,27.73,11/20/14 15:24,32.67,11/20/14 15:24,19.15,11/20/14 15:24,43.41,11/20/14 15:24,43.63,11/20/14 15:25,59.94,11/20/14 15:25,42.89,11/20/14 15:25,
T0002.4,T,0,35,39.85,11/20/14 15:27,43.67,11/20/14 15:27,56.9,11/20/14 15:27,40.93,11/20/14 15:28,61.34,11/20/14 15:28,63.52,11/20/14 15:28,58.81,11/20/14 15:28,30.26,11/20/14 15:29,
M0002.3,M,0,35,25.59,11/20/14 15:29,27.92,11/20/14 15:29,20.14,11/20/14 15:30,12.15,11/20/14 15:30,63.7,11/20/14 15:32,47.83,11/20/14 15:32,39.3,11/20/14 15:32,19.16,11/20/14 15:33,
T0002.2,T,0,35,36.13,11/20/14 15:33,39.95,11/20/14 15:33,31.76,11/20/14 15:33,30.11,11/20/14 15:34,52.27,11/20/14 15:34,59.81,11/20/14 15:34,61.37,11/20/14 15:34,61.64,11/20/14 15:34,
M0002.1,M,0,35,21.8,11/20/14 15:35,21.78,11/20/14 15:35,21.09,11/20/14 15:35,16.29,11/20/14 15:36,45.51,11/20/14 15:36,56.55,11/20/14 15:36,27.01,11/20/14 15:36,24.91,11/20/14 15:37,
T0012.8,T,0.001,35,26.31,11/20/14 15:42,22.24,11/20/14 15:42,34.51,11/20/14 15:42,34.45,11/20/14 15:42,40.59,11/20/14 15:42,43.12,11/20/14 15:42,56.28,11/20/14 15:43,58.07,11/20/14 15:43,
M0012.7,M,0.001,35,27.01,11/20/14 15:43,18.59,11/20/14 15:44,14.03,11/20/14 15:44,17.59,11/20/14 15:44,48.74,11/20/14 15:44,42.42,11/20/14 15:44,40.69,11/20/14 15:44,21.51,11/20/14 15:45,
M0012.6,M,0.001,35,25.87,11/20/14 15:45,20.03,11/20/14 15:45,22.34,11/20/14 15:45,21.6,11/20/14 15:45,59.43,11/20/14 15:46,56.16,11/20/14 15:46,54.21,11/20/14 15:46,21.28,11/20/14 15:47,
T0012.5,T,0.001,35,42.8,11/20/14 15:47,34.87,11/20/14 15:47,52.2,11/20/14 15:48,47,11/20/14 15:48,65.68,11/20/14 15:48,62.51,11/20/14 15:48,62.82,11/20/14 15:48,35.21,11/20/14 15:49,
T0012.4,T,0.001,35,50.3,11/20/14 15:49,48.32,11/20/14 15:50,42.53,11/20/14 15:50,27.67,11/20/14 15:50,64.98,11/20/14 15:50,55.1,11/20/14 15:50,40.57,11/20/14 15:51,20.2,11/20/14 15:51,
M0012.3,M,0.001,35,30.54,11/20/14 15:51,27.81,11/20/14 15:52,22.74,11/20/14 15:52,15.43,11/20/14 15:52,53.03,11/20/14 15:52,54.18,11/20/14 15:52,30.47,11/20/14 15:53,28.33,11/20/14 15:53,
T0012.2,T,0.001,35,46.89,11/20/14 15:54,42.59,11/20/14 15:54,46.24,11/20/14 15:54,38.64,11/20/14 15:55,69.87,11/20/14 15:55,61.87,11/20/14 15:55,60.15,11/20/14 15:55,30.58,11/20/14 15:55,
M0012.1,M,0.001,35,26.48,11/20/14 15:56,22.94,11/20/14 15:56,24.22,11/20/14 15:56,19.11,11/20/14 15:56,59.26,11/20/14 15:57,59.78,11/20/14 15:57,47.29,11/20/14 15:57,30.56,11/20/14 15:58,
